RM,LSTAT,PTRATIO,MEDV
6.13,27.8,14.7,289800.0
5.628,16.65,14.7,327600.0
4.926,29.53,14.7,306600.0
5.186,28.32,14.7,373800.0
5.597,21.45,14.7,323400.0
6.122,14.1,14.7,451500.0
5.404,13.28,14.7,411600.0
5.012,12.12,14.7,321300.0
5.709,15.79,14.7,407400.0
6.129,15.12,14.7,357000.0
6.152,15.02,14.7,327600.0
5.272,16.14,14.7,275100.0
6.943,4.59,14.7,867300.0
6.066,6.43,14.7,510300.0
6.51,7.39,14.7,489300.0
6.25,5.5,14.7,567000.0
5.854,11.64,14.7,476700.0
6.101,9.81,14.7,525000.0
5.877,12.14,14.7,499800.0
6.319,11.1,14.7,499800.0
6.402,11.32,14.7,468300.0
5.875,14.43,14.7,365400.0
5.88,12.03,14.7,401100.0
5.572,14.69,16.6,485100.0
6.416,9.04,16.6,495600.0
5.859,9.64,16.6,474600.0
6.546,5.33,16.6,617400.0
6.02,10.11,16.6,487200.0
6.315,6.29,16.6,516600.0
6.86,6.92,16.6,627900.0
6.98,5.04,17.8,781200.0
7.765,7.56,17.8,835800.0
6.144,9.45,17.8,760200.0
7.155,4.82,17.8,795900.0
6.563,5.68,17.8,682500.0
5.604,13.98,17.8,554400.0
6.153,13.15,17.8,621600.0
6.782,6.68,15.2,672000.0
6.556,4.56,15.2,625800.0
7.185,5.39,15.2,732900.0
6.951,5.1,15.2,777000.0
6.739,4.69,15.2,640500.0
7.178,2.87,15.2,764400.0
6.8,5.03,15.6,653100.0
6.604,4.38,15.6,611100.0
7.287,4.08,12.6,699300.0
7.107,8.61,12.6,636300.0
7.274,6.62,12.6,726600.0
6.975,4.56,17.0,732900.0
7.135,4.45,17.0,690900.0
6.162,7.43,14.7,506100.0
7.61,3.11,14.7,888300.0
7.853,3.81,14.7,1018500.0
5.891,10.87,18.6,474600.0
6.326,10.97,18.6,512400.0
5.783,18.06,18.6,472500.0
6.064,14.66,18.6,512400.0
5.344,23.09,18.6,420000.0
5.96,17.27,18.6,455700.0
5.404,23.98,18.6,405300.0
5.807,16.03,18.6,470400.0
6.375,9.38,18.6,590100.0
5.412,29.55,18.6,497700.0
6.182,9.47,18.6,525000.0
5.888,13.51,16.4,489300.0
6.642,9.69,16.4,602700.0
5.951,17.92,16.4,451500.0
6.373,10.5,16.4,483000.0
6.951,9.71,17.4,560700.0
6.164,21.46,17.4,455700.0
6.879,9.93,17.4,577500.0
6.618,7.6,17.4,632100.0
8.266,4.14,17.4,940800.0
8.04,3.13,17.4,789600.0
7.163,6.36,17.4,663600.0
7.686,3.92,17.4,980700.0
6.552,3.76,17.4,661500.0
5.981,11.65,17.4,510300.0
7.412,5.25,17.4,665700.0
8.337,2.47,17.4,875700.0
8.247,3.95,17.4,1014300.0
6.726,8.05,17.4,609000.0
6.086,10.88,17.4,504000.0
6.631,9.54,17.4,527100.0
7.358,4.73,17.4,661500.0
6.481,6.36,16.6,497700.0
6.606,7.37,16.6,489300.0
6.897,11.38,16.6,462000.0
6.095,12.4,16.6,422100.0
6.358,11.22,16.6,466200.0
6.393,5.19,16.6,497700.0
5.593,12.5,19.1,369600.0
5.605,18.46,19.1,388500.0
6.108,9.16,19.1,510300.0
6.226,10.15,19.1,430500.0
6.433,9.52,19.1,514500.0
6.718,6.56,19.1,550200.0
6.487,5.9,19.1,512400.0
6.438,3.59,19.1,520800.0
6.957,3.53,19.1,621600.0
8.259,3.54,19.1,898800.0
6.108,6.57,16.4,459900.0
5.876,9.25,16.4,438900.0
7.454,3.11,15.9,924000.0
7.333,7.79,13.0,756000.0
6.842,6.9,13.0,632100.0
7.203,9.59,13.0,709800.0
7.52,7.26,13.0,905100.0
8.398,5.91,13.0,1024800.0
7.327,11.25,13.0,651000.0
7.206,8.1,13.0,766500.0
5.56,10.45,13.0,478800.0
7.014,14.79,13.0,644700.0
7.47,3.16,13.0,913500.0
5.92,13.65,18.6,434700.0
5.856,13.0,18.6,443100.0
6.24,6.59,18.6,529200.0
6.538,7.73,18.6,512400.0
7.691,6.58,18.6,739200.0
6.758,3.53,17.6,680400.0
6.854,2.98,17.6,672000.0
7.267,6.05,17.6,697200.0
6.826,4.16,17.6,695100.0
6.482,7.19,17.6,611100.0
6.812,4.85,14.9,737100.0
7.82,3.76,14.9,953400.0
6.968,4.59,14.9,743400.0
7.645,3.01,14.9,966000.0
7.088,7.85,15.3,676200.0
6.453,8.23,15.3,462000.0
6.23,12.93,18.2,422100.0
6.209,7.14,16.6,487200.0
6.315,7.6,16.6,468300.0
6.565,9.51,16.6,520800.0
6.861,3.33,19.2,598500.0
7.148,3.56,19.2,783300.0
6.63,4.7,19.2,585900.0
6.127,8.58,16.0,501900.0
6.009,10.4,16.0,455700.0
6.678,6.27,16.0,600600.0
6.549,7.39,16.0,569100.0
5.79,15.84,16.0,426300.0
6.345,4.97,14.8,472500.0
7.041,4.74,14.8,609000.0
6.871,6.07,14.8,520800.0
6.59,9.5,16.1,462000.0
6.495,8.67,16.1,554400.0
6.982,4.86,16.1,695100.0
7.236,6.93,18.4,758100.0
6.616,8.93,18.4,596400.0
7.42,6.47,18.4,701400.0
6.849,7.53,18.4,592200.0
6.635,4.54,18.4,478800.0
5.972,9.97,18.4,426300.0
4.973,12.64,18.4,338100.0
6.122,5.98,18.4,464100.0
6.023,11.72,18.4,407400.0
6.266,7.9,18.4,453600.0
6.567,9.28,18.4,499800.0
5.705,11.5,18.4,340200.0
5.914,18.33,18.4,373800.0
5.782,15.94,18.4,415800.0
6.382,10.36,18.4,485100.0
6.113,12.73,18.4,441000.0
6.426,7.2,19.6,499800.0
6.376,6.87,19.6,485100.0
6.041,7.7,19.6,428400.0
5.708,11.74,19.6,388500.0
6.415,6.12,19.6,525000.0
6.431,5.08,19.6,516600.0
6.312,6.15,19.6,483000.0
6.083,12.79,19.6,466200.0
5.868,9.97,16.9,405300.0
6.333,7.34,16.9,474600.0
6.144,9.09,16.9,415800.0
5.706,12.43,16.9,359100.0
6.031,7.83,16.9,407400.0
6.316,5.68,20.2,466200.0
6.31,6.75,20.2,434700.0
6.037,8.01,20.2,443100.0
5.869,9.8,20.2,409500.0
5.895,10.56,20.2,388500.0
6.059,8.51,20.2,432600.0
5.985,9.74,20.2,399000.0
5.968,9.29,20.2,392700.0
7.241,5.49,15.5,686700.0
6.54,8.65,15.9,346500.0
6.696,7.18,17.6,501900.0
6.874,4.61,17.6,655200.0
6.014,10.53,18.8,367500.0
5.898,12.67,18.8,361200.0
6.516,6.36,17.9,485100.0
6.635,5.99,17.0,514500.0
6.939,5.89,19.7,558600.0
6.49,5.98,19.7,480900.0
6.579,5.49,18.3,506100.0
5.884,7.79,18.3,390600.0
6.728,4.5,17.0,632100.0
5.663,8.05,22.0,382200.0
5.936,5.57,22.0,432600.0
6.212,17.6,20.2,373800.0
6.395,13.27,20.2,455700.0
6.127,11.48,20.2,476700.0
6.112,12.67,20.2,474600.0
6.398,7.79,20.2,525000.0
6.251,14.19,20.2,417900.0
5.362,10.19,20.2,436800.0
5.803,14.64,20.2,352800.0
3.561,7.12,20.2,577500.0
4.963,14.0,20.2,459900.0
3.863,13.33,20.2,485100.0
4.906,34.77,20.2,289800.0
4.138,37.97,20.2,289800.0
7.313,13.44,20.2,315000.0
6.649,23.24,20.2,291900.0
6.794,21.24,20.2,279300.0
6.38,23.69,20.2,275100.0
6.223,21.78,20.2,214200.0
6.968,17.21,20.2,218400.0
6.545,21.08,20.2,228900.0
5.536,23.6,20.2,237300.0
5.52,24.56,20.2,258300.0
4.368,30.63,20.2,184800.0
5.277,30.81,20.2,151200.0
4.652,28.28,20.2,220500.0
5.0,31.99,20.2,155400.0
4.88,30.62,20.2,214200.0
5.39,20.85,20.2,241500.0
5.713,17.11,20.2,317100.0
6.051,18.76,20.2,487200.0
5.036,25.68,20.2,203700.0
6.193,15.17,20.2,289800.0
5.887,16.35,20.2,266700.0
6.471,17.12,20.2,275100.0
6.405,19.37,20.2,262500.0
5.747,19.92,20.2,178500.0
5.453,30.59,20.2,105000.0
5.852,29.97,20.2,132300.0
5.987,26.77,20.2,117600.0
6.343,20.32,20.2,151200.0
6.404,20.31,20.2,254100.0
5.349,19.77,20.2,174300.0
5.531,27.38,20.2,178500.0
5.683,22.98,20.2,105000.0
4.138,23.34,20.2,249900.0
5.608,12.13,20.2,585900.0
5.617,26.4,20.2,361200.0
6.852,19.78,20.2,577500.0
5.757,10.11,20.2,315000.0
6.657,21.22,20.2,361200.0
4.628,34.37,20.2,375900.0
5.155,20.08,20.2,342300.0
4.519,36.98,20.2,147000.0
6.434,29.05,20.2,151200.0
6.782,25.79,20.2,157500.0
5.304,26.64,20.2,218400.0
5.957,20.62,20.2,184800.0
6.824,22.74,20.2,176400.0
6.411,15.02,20.2,350700.0
6.006,15.7,20.2,298200.0
5.648,14.1,20.2,436800.0
6.103,23.29,20.2,281400.0
5.565,17.16,20.2,245700.0
5.896,24.39,20.2,174300.0
5.837,15.69,20.2,214200.0
6.202,14.52,20.2,228900.0
6.193,21.52,20.2,231000.0
6.38,24.08,20.2,199500.0
6.348,17.64,20.2,304500.0
6.833,19.69,20.2,296100.0
6.425,12.03,20.2,338100.0
6.436,16.22,20.2,300300.0
6.208,15.17,20.2,245700.0
6.629,23.27,20.2,281400.0
6.461,18.05,20.2,201600.0
6.152,26.45,20.2,182700.0
5.935,34.02,20.2,176400.0
5.627,22.88,20.2,268800.0
5.818,22.11,20.2,220500.0
6.406,19.52,20.2,359100.0
6.219,16.59,20.2,386400.0
6.485,18.85,20.2,323400.0
5.854,23.79,20.2,226800.0
6.459,23.98,20.2,247800.0
6.341,17.79,20.2,312900.0
6.251,16.44,20.2,264600.0
6.185,18.13,20.2,296100.0
6.417,19.31,20.2,273000.0
6.749,17.44,20.2,281400.0
6.655,17.73,20.2,319200.0
6.297,17.27,20.2,338100.0
7.393,16.74,20.2,373800.0
6.728,18.71,20.2,312900.0
6.525,18.13,20.2,296100.0
5.976,19.01,20.2,266700.0
5.936,16.94,20.2,283500.0
6.301,16.23,20.2,312900.0
6.081,14.7,20.2,420000.0
6.701,16.42,20.2,344400.0
6.376,14.65,20.2,371700.0
6.317,13.99,20.2,409500.0
6.513,10.29,20.2,424200.0
6.209,13.22,20.2,449400.0
5.759,14.13,20.2,417900.0
5.952,17.15,20.2,399000.0
6.003,21.32,20.2,401100.0
5.926,18.13,20.2,401100.0
5.713,14.76,20.2,422100.0
6.167,16.29,20.2,417900.0
6.229,12.87,20.2,411600.0
6.437,14.36,20.2,487200.0
6.98,11.66,20.2,625800.0
5.427,18.14,20.2,289800.0
6.162,24.1,20.2,279300.0
6.484,18.68,20.2,350700.0
5.304,24.91,20.2,252000.0
6.185,18.03,20.2,306600.0
6.229,13.11,20.2,449400.0
6.242,10.74,20.2,483000.0
6.75,7.74,20.2,497700.0
7.061,7.01,20.2,525000.0
5.762,10.42,20.2,457800.0
5.871,13.34,20.2,432600.0
6.312,10.58,20.2,445200.0
6.114,14.98,20.2,401100.0
5.905,11.45,20.2,432600.0
5.454,18.06,20.1,319200.0
5.414,23.97,20.1,147000.0
5.093,29.68,20.1,170100.0
5.983,18.07,20.1,285600.0
5.983,13.35,20.1,422100.0
5.707,12.01,19.2,457800.0
5.926,13.59,19.2,514500.0
5.67,17.6,19.2,485100.0
5.39,21.14,19.2,413700.0
5.794,14.1,19.2,384300.0
6.019,12.92,19.2,445200.0
5.569,15.1,19.2,367500.0
6.027,14.33,19.2,352800.0
6.593,9.67,21.0,470400.0
6.12,9.08,21.0,432600.0
6.976,5.64,21.0,501900.0
6.794,6.48,21.0,462000.0
6.03,7.88,21.0,249900.0
